branch	sha
mathgraph-v4-bvdecide-residual	f7e1864282157b2299c2171522dfd140fd131b15
mathgraph-v4-bvdecide-residual-20260830	d7d244162971f44c38025deaf7e5d8288cd8a30a
mathgraph-v4-bvdivide-residual-20260830	9d2a4f90d1320019d2ca5af9c22fcb00026e5476
mda/autonomous-checker-genesis-v1	e9d69ccb2619f0957f69c292935a847f01bbcab3
mda/autonomous-checker-genesis-v2	b5cd47f0d5aaf0ef0c1688ec382d23a76487efd9
mda/bidirectional-convergence-v1	942b66a62e642ed82abdabeccebe28fce207daa4
mda/blind-callpath-localization-v4b	fcf562fca3082e224111dea67c5001f1656963ec
mda/blind-residual-localization-v4a	2c97f42c0e47addffb9a1bd5b637157719d3225f
mda/mathgraph-lean-v1	a3ae2f00c9181851abe479614c8fd266cdf5088c
mda/performance-convergence-v2	40f6ac417fd8bb18ed6392e7620abb71ea5b9937
mda/workload-convergence-v3	fe9abbf45ba3af18b77c1975936235684bb3a2ce
mda/workload-envelope-convergence-v3b	e11b91668bce0cec7ed9acb916072e2e6fcf2a30
msi-app-check-cedar-v33	006debe595140b42378f16a1376c3192145ce5f7
msi-app-check-interface-v31	161f71127f91070cf2e3fe2f5968b75c969db1b8
msi-app-check-transfer-v32	e0a5ec1c2be29f7a5939cd9087bdeb4465135045
msi-app-producer-census-v34	8acf95207554b8afb7e1b1e6b1875a24932cf9d1
msi-behavioural-quotient-census-v9	faabc73615f0559ab209f197ab95c2baa65d8e4f
msi-blind-interface-applicability-genesis-v39	aa7f052e756e322acb3c2e4468a1dd7015bec686
msi-blind-kernel-interface-genesis-v38	c7dd9cf002e966d3a2b0be8021419cf5297c03c6
msi-cached-semantic-hint-census-v22	d835ef644e1ab0fcec6c3670f9b8cdccfc0041c4
msi-canon-class-tournament-v21	2ced4e58ced14d9303c76d151441f045503adf48
msi-canon-demand-gate-v23	3de8dd75f2b552f56eff3656bb850ad757455b72
msi-certified-semantic-ref-v19	5f0913fbf9bfea18801ca5f8482922e53808cb7f
msi-compiled-interface-origin-v29	49c730e294908d8eb6a69dd84613f479cf7c8ae7
msi-conv-residual-v12	22db37fcff80e0a7783fe2e1d6cedccd82d25845
msi-conv-types-caller-origin-v30	df6d9b6d25a071f2c573f5d80dfae9a005b5fecd
msi-creation-site-ref-v20	87c7081b9280c1330ae4556361f778b8d2eab0aa
msi-digest-precision-v18	a07c8857f4ff2e6f1e5c4f970fd4aa55da39edb8
msi-earned-memory-policy-v40	0f38de5bf07e3d9bdd36efdf01f4ff7bebe64b39
msi-fast-triage-v11	df5d150a914901cc4c73aa921a48428a3d04bb79
msi-force-once-v10	e4119f5d833af6ed331393a7ccad6ff2f08b41c7
msi-hidden-equality-family-v25	f10ad86a1b868143e743d2258d7c70eb8a304924
msi-level-identity-v26	92538967e624e248b2da4c83facf39268e310d8b
msi-native-interface-v39	4385b3328dc1c1c36b403bd59bd9e938d72d339e
msi-nebula-transfer-v42	0eaafe7ba97bfc064d2286d178c17c0d147e6d6e
msi-nebula-transfer-v43	b4ab10129f3738ac3e2a539489b387f76e0cd340
msi-nonthunk-class-v26	cbaf74f66927f765a430bc1bace1240e31e63958
msi-nonthunk-fastpath-v24	c0d2b645cf8bcdf5d29d0bc5c67d8bfa86468fa9
msi-nonthunk-transfer-v24	402bf393f0122eb59ce5034c8254701ca3aa05b9
msi-open-eval-class-v8	4e363ed1c78d728b1ed888ec9a54d44b325795bf
msi-per-side-force-v28	75eede45fdb8ac5a28132843c92963fe898edca5
msi-preforce-early-exit-v15	61753c93150ce069af9ecfe2773d2b4268c77e5e
msi-preforce-ptr-v14	1988c637178a28d7a7d2a927837fc2e3d607f5cb
msi-proven-convref-v21	f8aa362a87e7785cd08b4e3bb8b7057dc6afb0d8
msi-recursive-interface-genesis-v40	04c44d80440df12287a17c81107e6e083379de8e
msi-rewrite-sniff-v17	e504ab7f5e65fe1ece6e7d320d9fb7697b2abdb5
msi-semantic-dependency-census-v16	d2c75680fefd5dd6a81b271a8f7880875179af34
msi-semantic-rediscovery-frontier-v36	eb52f152dc0c952aaf038b82c8bbcc5cc2900827
msi-sort-information-lifetime-v35	92c876cbebcf2cbc992b5c670a058a6e2acdfe5d
msi-sort-level-fastpath-v27	13e0a435a9347bf983f3082e61d780a28e644b52
msi-structural-spine-v13	083a702076ba07a4f6f74e03d7e14769182325ce
msi-sustained-nebula-ignition-v41	2f670016a71dbc3bfe08216d0495817f66156b7b
msi-sustained-nebula-ignition-v41r1	50ca6e405c6e2f6d33c1bfa2e946e2e629d381dd
msikernel-access-path-genesis-v19	94b098b4ec63b376772334e348cc63fdeca58145
msikernel-access-path-grammar-genesis-v20	fe42537b965cdf82235034a96c44012c167b9dc2
msikernel-applicability-genesis-v12	e1059f12b16d80ac3a7ac1f7fa6877dd8f61a790
msikernel-blind-recursive-genesis-v5	ea596e7d3ee00f4adf2da6fc7267adae73d15491
